1,Albany
3,De Anza
4,LPS Rich
6,Middle College
8,Bishop
9,Hercules
10,Skyline
12,El Cerrito
14,Oakland Tech
15,Pinole Valley
17,ACLC
18,Cal Prep
20,Encinal
26,OSA
29,REALM
31,Arroyo
35,Hayward
36,Miramonte
37,Coliseum
38,Madison Park
40,Salesian
41,ARISE
