Blue 1 ID, Blue 1 Name, Blue 2 ID, Blue 2 Name, Gold 1 ID, Gold 1 Name, Gold 2 ID, Gold 2 Name
8,Bishop,20,Encinal,26,OSA,6,Middle College
17,ACLC,40,Salesian,9,Hercules,10,Skyline
36,Miramonte,14,Oakland Tech,3,De Anza,31,Arroyo
1,Albany,4,LPS Rich,15,Pinole Valley,29,REALM
37,Coliseum,12,El Cerrito,18,Cal Prep,41,ARISE
35,Hayward,38,Madison Park,8,Bishop,3,De Anza
37,Coliseum,20,Encinal,31,Arroyo,17,ACLC
29,REALM,18,Cal Prep,14,Oakland Tech,15,Pinole Valley
1,Albany,10,Skyline,9,Hercules,6,Middle College
26,OSA,35,Hayward,4,LPS Rich,40,Salesian
36,Miramonte,41,ARISE,3,De Anza,12,El Cerrito
8,Bishop,38,Madison Park,6,Middle College,40,Salesian
29,REALM,36,Miramonte,4,LPS Rich,9,Hercules
37,Coliseum,40,Salesian,8,Bishop,17,ACLC
35,Hayward,10,Skyline,26,OSA,41,ARISE
18,Cal Prep,15,Pinole Valley,12,El Cerrito,1,Albany
31,Arroyo,14,Oakland Tech,6,Middle College,20,Encinal
3,De Anza,38,Madison Park,17,ACLC,18,Cal Prep
26,OSA,9,Hercules,6,Middle College,35,Hayward
36,Miramonte,3,De Anza,38,Madison Park,29,REALM
20,Encinal,12,El Cerrito,17,ACLC,15,Pinole Valley
37,Coliseum,31,Arroyo,41,ARISE,14,Oakland Tech
4,LPS Rich,8,Bishop,10,Skyline,40,Salesian
1,Albany,18,Cal Prep,37,Coliseum,36,Miramonte
35,Hayward,41,ARISE,8,Bishop,4,LPS Rich
6,Middle College,31,Arroyo,29,REALM,26,OSA
40,Salesian,36,Miramonte,17,ACLC,38,Madison Park
3,De Anza,20,Encinal,18,Cal Prep,15,Pinole Valley
37,Coliseum,14,Oakland Tech,10,Skyline,1,Albany
9,Hercules,12,El Cerrito,29,REALM,41,ARISE
